Book,Week,Pages,Seminar,ISBN
Aquinas Basic Works,1,"14-35, 503-540",,978-1624661242
,2,541-590,,
,3,591-640,,
,4,641-674,,
,,,"December 11, 2024",
Summa Contra Gentiles Bk 1,1,1-26,,978-1623400583
,2,27-72,,
,3,73-115,,
,4,116-155,,
,,,"January 8, 2025",
Summa Contra Gentiles Bk 2,1,159-194,,
,2,195-235,,
,3,237-316,,
,4,317-376,,
,,,"February 12, 2025",
Summa Contra Gentiles Bk 3,1,1-60,,978-1623400590
,2,61-148,,
,3,149-229,,
,4,230-322,,
,,,"March 12, 2025",
Summa Contra Gentiles Bk 4,1,327-406,,
,2,407-479,,
,3,480-517,,
,4,518-555,,
,,,"April 9, 2025",
